INFO buildroot.py:497:  Mock Version: 2.16
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/RPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/RPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SPECS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SPECS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SRPMS
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SRPMS
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SOURCES
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/SOURCES
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/BUILD
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/BUILD
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/BUILDROOT
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/BUILDROOT
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/originals
DEBUG file_util.py:20:  creating dir: /var/lib/mock/almalinux-8-x86_64/root/builddir/build/originals
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/builddir
DEBUG util.py:623:  child environment: None
DEBUG util.py:536:  Using nspawn with args None
DEBUG util.py:541:  Executing command: ['/usr/bin/systemd-nspawn', '-q', '-M', 'bb94b148cc9a487f991d3092b51597ed', '-D', '/var/lib/mock/almalinux-8-x86_64-bootstrap/root', '-a', '--setenv=TERM=vt100', '--setenv=SHELL=/bin/bash', '--setenv=HOME=/builddir', '--setenv=HOSTNAME=mock', '--setenv=PATH=/usr/bin:/bin:/usr/sbin:/sbin', '--setenv=PROMPT_COMMAND=printf "\\033]0;<mock-chroot>\\007"', '--setenv=PS1=<mock-chroot> \\s-\\v\\$ ', '--setenv=LANG=C.UTF-8', '--resolv-conf=off', '/bin/rpm', '-qa', '--root', '/var/lib/mock/almalinux-8-x86_64/root'] with env {'TERM': 'vt100', 'SHELL': '/bin/bash', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'PROMPT_COMMAND': 'printf "\\033]0;<mock-chroot>\\007"', 'PS1': '<mock-chroot> \\s-\\v\\$ ', 'LANG': 'C.UTF-8', 'SYSTEMD_NSPAWN_TMPFS_TMP': '0', 'SYSTEMD_SECCOMP': '0'} and shell False
DEBUG util.py:446:  libgcc-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  python-srpm-macros-3-41.el8.noarch
DEBUG util.py:446:  python3-pip-wheel-9.0.3-22.el8.noarch
DEBUG util.py:446:  python3-rpm-macros-3-41.el8.noarch
DEBUG util.py:446:  qt5-srpm-macros-5.15.2-1.el8.noarch
DEBUG util.py:446:  openblas-srpm-macros-2-2.el8.noarch
DEBUG util.py:446:  go-srpm-macros-2-17.el8.noarch
DEBUG util.py:446:  tzdata-2022a-1.el8.noarch
DEBUG util.py:446:  pkgconf-m4-1.4.2-1.el8.noarch
DEBUG util.py:446:  libssh-config-0.9.6-3.el8.noarch
DEBUG util.py:446:  almalinux-release-8.6-1.el8.x86_64
DEBUG util.py:446:  filesystem-3.8-6.el8.x86_64
DEBUG util.py:446:  pcre2-10.32-2.el8.x86_64
DEBUG util.py:446:  glibc-all-langpacks-2.28-189.1.el8.x86_64
DEBUG util.py:446:  glibc-gconv-extra-2.28-189.1.el8.x86_64
DEBUG util.py:446:  glibc-2.28-189.1.el8.x86_64
DEBUG util.py:446:  libsepol-2.9-3.el8.x86_64
DEBUG util.py:446:  info-6.5-7.el8.x86_64
DEBUG util.py:446:  gmp-6.1.2-10.el8.x86_64
DEBUG util.py:446:  elfutils-libelf-0.186-1.el8.x86_64
DEBUG util.py:446:  libxcrypt-4.1.1-6.el8.x86_64
DEBUG util.py:446:  readline-7.0-10.el8.x86_64
DEBUG util.py:446:  libcap-2.48-2.el8.x86_64
DEBUG util.py:446:  popt-1.18-1.el8.x86_64
DEBUG util.py:446:  libuuid-2.32.1-35.el8.x86_64
DEBUG util.py:446:  libunistring-0.9.9-3.el8.x86_64
DEBUG util.py:446:  libacl-2.2.53-1.el8.x86_64
DEBUG util.py:446:  libffi-3.1-23.el8.x86_64
DEBUG util.py:446:  lua-libs-5.3.4-12.el8.x86_64
DEBUG util.py:446:  libidn2-2.2.0-1.el8.x86_64
DEBUG util.py:446:  file-libs-5.33-20.el8.x86_64
DEBUG util.py:446:  libgcrypt-1.8.5-6.el8.x86_64
DEBUG util.py:446:  findutils-4.6.0-20.el8.x86_64
DEBUG util.py:446:  elfutils-libs-0.186-1.el8.x86_64
DEBUG util.py:446:  expat-2.2.5-8.el8.x86_64
DEBUG util.py:446:  keyutils-libs-1.5.10-9.el8.x86_64
DEBUG util.py:446:  audit-libs-3.0.7-2.el8.2.x86_64
DEBUG util.py:446:  p11-kit-trust-0.23.22-1.el8.x86_64
DEBUG util.py:446:  pcre-8.42-6.el8.x86_64
DEBUG util.py:446:  xz-5.2.4-3.el8.x86_64
DEBUG util.py:446:  gdbm-1.18-1.el8.x86_64
DEBUG util.py:446:  zip-3.0-23.el8.x86_64
DEBUG util.py:446:  libpsl-0.20.2-6.el8.x86_64
DEBUG util.py:446:  libksba-1.3.5-7.el8.x86_64
DEBUG util.py:446:  patch-2.7.6-11.el8.x86_64
DEBUG util.py:446:  zstd-1.4.4-1.el8.x86_64
DEBUG util.py:446:  libxml2-2.9.7-13.el8.x86_64
DEBUG util.py:446:  gnutls-3.6.16-4.el8.x86_64
DEBUG util.py:446:  bzip2-1.0.6-26.el8.x86_64
DEBUG util.py:446:  diffutils-3.6-6.el8.x86_64
DEBUG util.py:446:  brotli-1.0.6-3.el8.x86_64
DEBUG util.py:446:  libnghttp2-1.33.0-3.el8_2.1.x86_64
DEBUG util.py:446:  pkgconf-1.4.2-1.el8.x86_64
DEBUG util.py:446:  glibc-devel-2.28-189.1.el8.x86_64
DEBUG util.py:446:  libsigsegv-2.11-5.el8.x86_64
DEBUG util.py:446:  libsmartcols-2.32.1-35.el8.x86_64
DEBUG util.py:446:  libverto-0.3.0-5.el8.x86_64
DEBUG util.py:446:  openssl-libs-1.1.1k-6.el8_5.x86_64
DEBUG util.py:446:  ca-certificates-2021.2.50-80.0.el8_4.noarch
DEBUG util.py:446:  krb5-libs-1.18.2-14.el8.x86_64
DEBUG util.py:446:  libblkid-2.32.1-35.el8.x86_64
DEBUG util.py:446:  systemd-libs-239-58.el8.x86_64
DEBUG util.py:446:  platform-python-setuptools-39.2.0-6.el8.noarch
DEBUG util.py:446:  python3-libs-3.6.8-45.el8.alma.x86_64
DEBUG util.py:446:  gcc-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  cracklib-2.9.6-15.el8.x86_64
DEBUG util.py:446:  shadow-utils-4.6-16.el8.x86_64
DEBUG util.py:446:  tpm2-tss-2.3.2-4.el8.x86_64
DEBUG util.py:446:  libpwquality-1.4.4-3.el8.x86_64
DEBUG util.py:446:  annobin-10.29-3.el8.x86_64
DEBUG util.py:446:  glib2-2.56.4-158.el8.x86_64
DEBUG util.py:446:  libfdisk-2.32.1-35.el8.x86_64
DEBUG util.py:446:  openldap-2.4.46-18.el8.x86_64
DEBUG util.py:446:  libcurl-7.61.1-22.el8.x86_64
DEBUG util.py:446:  libdb-utils-5.3.28-42.el8_4.x86_64
DEBUG util.py:446:  rpm-libs-4.14.3-23.el8.x86_64
DEBUG util.py:446:  efi-srpm-macros-3-3.el8.noarch
DEBUG util.py:446:  npth-1.5-4.el8.x86_64
DEBUG util.py:446:  rpm-build-libs-4.14.3-23.el8.x86_64
DEBUG util.py:446:  gc-7.6.4-3.el8.x86_64
DEBUG util.py:446:  libipt-1.6.1-8.el8.x86_64
DEBUG util.py:446:  rpm-build-4.14.3-23.el8.x86_64
DEBUG util.py:446:  gcc-c++-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  make-4.2.1-11.el8.x86_64
DEBUG util.py:446:  gpg-pubkey-3abb34f8-5ffd890e
DEBUG util.py:446:  crypto-policies-20211116-1.gitae470d6.el8.noarch
DEBUG util.py:446:  python3-setuptools-wheel-39.2.0-6.el8.noarch
DEBUG util.py:446:  python-rpm-macros-3-41.el8.noarch
DEBUG util.py:446:  rust-srpm-macros-5-2.el8.noarch
DEBUG util.py:446:  perl-srpm-macros-1-25.el8.noarch
DEBUG util.py:446:  ocaml-srpm-macros-5-4.el8.noarch
DEBUG util.py:446:  ghc-srpm-macros-1.4.2-7.el8.noarch
DEBUG util.py:446:  publicsuffix-list-dafsa-20180723-1.el8.noarch
DEBUG util.py:446:  ncurses-base-6.1-9.20180224.el8.noarch
DEBUG util.py:446:  kernel-headers-4.18.0-372.9.1.el8.x86_64
DEBUG util.py:446:  setup-2.12.2-6.el8.noarch
DEBUG util.py:446:  basesystem-11-5.el8.noarch
DEBUG util.py:446:  libselinux-2.9-5.el8.x86_64
DEBUG util.py:446:  ncurses-libs-6.1-9.20180224.el8.x86_64
DEBUG util.py:446:  glibc-common-2.28-189.1.el8.x86_64
DEBUG util.py:446:  bash-4.4.20-3.el8.x86_64
DEBUG util.py:446:  zlib-1.2.11-18.el8_5.x86_64
DEBUG util.py:446:  bzip2-libs-1.0.6-26.el8.x86_64
DEBUG util.py:446:  xz-libs-5.2.4-3.el8.x86_64
DEBUG util.py:446:  libstdc++-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  mpfr-3.1.6-1.el8.x86_64
DEBUG util.py:446:  sqlite-libs-3.26.0-15.el8.x86_64
DEBUG util.py:446:  libzstd-1.4.4-1.el8.x86_64
DEBUG util.py:446:  libcom_err-1.45.6-4.el8.x86_64
DEBUG util.py:446:  chkconfig-1.19.1-1.el8.x86_64
DEBUG util.py:446:  libattr-2.4.48-3.el8.x86_64
DEBUG util.py:446:  sed-4.5-5.el8.x86_64
DEBUG util.py:446:  libgpg-error-1.31-1.el8.x86_64
DEBUG util.py:446:  p11-kit-0.23.22-1.el8.x86_64
DEBUG util.py:446:  libmpc-1.1.0-9.1.el8.x86_64
DEBUG util.py:446:  file-5.33-20.el8.x86_64
DEBUG util.py:446:  unzip-6.0-46.el8.x86_64
DEBUG util.py:446:  elfutils-default-yama-scope-0.186-1.el8.noarch
DEBUG util.py:446:  glibc-headers-2.28-189.1.el8.x86_64
DEBUG util.py:446:  gdbm-libs-1.18-1.el8.x86_64
DEBUG util.py:446:  libcap-ng-0.7.11-1.el8.x86_64
DEBUG util.py:446:  libtasn1-4.13-3.el8.x86_64
DEBUG util.py:446:  lz4-libs-1.8.3-3.el8_4.x86_64
DEBUG util.py:446:  grep-3.1-6.el8.x86_64
DEBUG util.py:446:  libsemanage-2.9-8.el8.x86_64
DEBUG util.py:446:  elfutils-0.186-1.el8.x86_64
DEBUG util.py:446:  cpp-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  libassuan-2.5.1-3.el8.x86_64
DEBUG util.py:446:  tar-1.30-5.el8.x86_64
DEBUG util.py:446:  libstdc++-devel-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  dwz-0.12-10.el8.x86_64
DEBUG util.py:446:  nettle-3.4.1-7.el8.x86_64
DEBUG util.py:446:  isl-0.16.1-6.el8.x86_64
DEBUG util.py:446:  coreutils-common-8.30-12.el8.x86_64
DEBUG util.py:446:  libgomp-8.5.0-10.el8.alma.x86_64
DEBUG util.py:446:  cpio-2.12-11.el8.x86_64
DEBUG util.py:446:  libpkgconf-1.4.2-1.el8.x86_64
DEBUG util.py:446:  pkgconf-pkg-config-1.4.2-1.el8.x86_64
DEBUG util.py:446:  libxcrypt-devel-4.1.1-6.el8.x86_64
DEBUG util.py:446:  gawk-4.2.1-4.el8.x86_64
DEBUG util.py:446:  libtool-ltdl-2.4.6-25.el8.x86_64
DEBUG util.py:446:  ncurses-6.1-9.20180224.el8.x86_64
DEBUG util.py:446:  coreutils-8.30-12.el8.x86_64
DEBUG util.py:446:  libdb-5.3.28-42.el8_4.x86_64
DEBUG util.py:446:  libtirpc-1.1.4-6.el8.x86_64
DEBUG util.py:446:  libmount-2.32.1-35.el8.x86_64
DEBUG util.py:446:  libnsl2-1.2.0-2.20180605git4a062cf.el8.x86_64
DEBUG util.py:446:  platform-python-3.6.8-45.el8.alma.x86_64
DEBUG util.py:446:  binutils-2.30-113.el8.x86_64
DEBUG util.py:446:  gzip-1.9-13.el8_5.x86_64
DEBUG util.py:446:  cracklib-dicts-2.9.6-15.el8.x86_64
DEBUG util.py:446:  libutempter-1.1.6-14.el8.x86_64
DEBUG util.py:446:  ima-evm-utils-1.3.2-12.el8.x86_64
DEBUG util.py:446:  pam-1.3.1-16.el8.x86_64
DEBUG util.py:446:  libusbx-1.0.23-4.el8.x86_64
DEBUG util.py:446:  libbabeltrace-1.5.4-3.el8.x86_64
DEBUG util.py:446:  cyrus-sasl-lib-2.1.27-6.el8_5.x86_64
DEBUG util.py:446:  libssh-0.9.6-3.el8.x86_64
DEBUG util.py:446:  curl-7.61.1-22.el8.x86_64
DEBUG util.py:446:  libarchive-3.3.3-3.el8_5.x86_64
DEBUG util.py:446:  rpm-4.14.3-23.el8.x86_64
DEBUG util.py:446:  redhat-rpm-config-129-1.el8.alma.noarch
DEBUG util.py:446:  gnupg2-2.2.20-2.el8.x86_64
DEBUG util.py:446:  libatomic_ops-7.6.2-3.el8.x86_64
DEBUG util.py:446:  guile-2.0.14-7.el8.x86_64
DEBUG util.py:446:  gdb-headless-8.2-18.el8.x86_64
DEBUG util.py:446:  util-linux-2.32.1-35.el8.x86_64
DEBUG util.py:446:  which-2.21-17.el8.x86_64
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/proc
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate', 'tmpfs', '/var/lib/mock/almalinux-8-x86_64/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/proc
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/proc', '/var/lib/mock/almalinux-8-x86_64/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/almalinux-8-x86_64/root/proc'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/sys
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', '-o', 'rprivate', 'tmpfs', '/var/lib/mock/almalinux-8-x86_64/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/sys
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-o', 'rbind', '/sys', '/var/lib/mock/almalinux-8-x86_64/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-o', 'remount,nodev,noexec,nosuid,readonly,rprivate,rbind', '--target', '/var/lib/mock/almalinux-8-x86_64/root/sys'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/dev/shm
DEBUG util.py:623:  child environment: None
DEBUG util.py:541:  Executing command: ['/bin/mount', '-n', '-t', 'tmpfs', 'tmpfs', '/var/lib/mock/almalinux-8-x86_64/root/dev/shm'] with env {'TERM': 'vt100', 'SHELL': '/bin/sh', 'HOME': '/builddir', 'HOSTNAME': 'mock', 'PATH': '/usr/bin:/bin:/usr/sbin:/sbin', 'LANG': 'C.UTF-8'} and shell False
DEBUG util.py:597:  Child return code was: 0
DEBUG file_util.py:17:  ensuring that dir exists: /var/lib/mock/almalinux-8-x86_64/root/dev/pts
DEBUG util.py:623:  child environment: None
